student_id,Gender,english,maths,science,history,Geography,average
Stud0,M,59,62,55,65,50,58.2
Stud1,F,77,45,65,44,53,56.8
Stud2,M,94,50,58,97,88,77.4
Stud3,M,39,95,70,58,76,67.6
Stud4,M,64,78,63,75,76,71.2
Stud5,F,83,36,88,49,90,69.2
Stud6,F,77,90,37,64,95,72.6
Stud7,M,42,84,62,79,48,63.0
Stud8,M,51,96,95,84,85,82.2
Stud9,F,79,70,99,47,59,70.8
Stud10,F,40,83,72,48,90,66.6
Stud11,M,57,44,71,41,42,51.0
Stud12,F,82,58,66,54,53,62.6
Stud13,M,78,92,37,42,50,59.8
Stud14,F,88,43,93,72,62,71.6
Stud15,M,98,83,75,47,84,77.4
Stud16,F,67,71,50,83,44,63.0
Stud17,F,87,86,41,43,44,60.2
Stud18,M,93,52,87,41,74,69.4
Stud19,F,42,92,67,68,88,71.4
Stud20,F,57,41,94,68,53,62.6
Stud21,M,89,55,97,99,42,76.4
Stud22,M,69,61,90,73,67,72.0
Stud23,F,85,84,99,54,76,79.6
Stud24,M,53,93,83,57,80,73.2
Stud25,M,82,52,77,98,79,77.6
Stud26,M,80,48,92,89,93,80.4
Stud27,F,84,42,51,61,87,65.0
Stud28,M,49,69,96,67,89,74.0
Stud29,M,55,61,45,94,35,58.0
Stud30,M,89,81,57,68,73,73.6
Stud31,F,59,87,81,39,93,71.8
Stud32,F,90,77,98,51,66,76.4
Stud33,F,76,59,47,93,65,68.0
Stud34,M,40,94,92,55,59,68.0
Stud35,F,58,85,46,59,51,59.8
Stud36,M,91,53,66,55,92,71.4
Stud37,F,64,49,82,47,36,55.6
Stud38,M,79,72,51,50,67,63.8
Stud39,M,79,96,98,92,52,83.4
Stud40,M,41,93,91,58,86,73.8
Stud41,F,52,97,93,36,83,72.2
Stud42,F,52,37,91,87,72,67.8
Stud43,F,83,48,84,54,59,65.6
Stud44,M,91,37,38,76,94,67.2
Stud45,M,67,72,98,96,36,73.8
Stud46,M,63,82,35,39,79,59.6
Stud47,M,85,67,80,40,68,68.0
Stud48,M,85,88,53,47,44,63.4
Stud49,M,74,86,35,62,81,67.6
Stud50,M,75,55,85,57,66,67.6
Stud51,M,72,97,58,45,52,64.8
Stud52,F,72,87,38,49,83,65.8
Stud53,M,78,65,99,94,66,80.4
Stud54,M,87,85,67,89,56,76.8
Stud55,M,65,44,67,46,76,59.6
Stud56,M,39,38,50,35,51,42.6
Stud57,F,56,97,43,60,61,63.4
Stud58,M,42,80,57,89,79,69.4
Stud59,M,47,77,80,66,84,70.8
Stud60,M,36,96,39,56,92,63.8
Stud61,F,84,77,35,78,87,72.2
Stud62,M,80,56,39,71,65,62.2
Stud63,M,49,35,83,67,72,61.2
Stud64,F,53,84,76,87,55,71.0
Stud65,M,67,51,96,92,91,79.4
Stud66,F,99,64,71,57,42,66.6
Stud67,M,51,41,84,76,59,62.2
Stud68,M,39,44,88,87,86,68.8
Stud69,F,82,70,59,91,66,73.6
Stud70,F,72,48,56,77,47,60.0
Stud71,F,55,49,70,91,65,66.0
Stud72,F,52,60,98,73,37,64.0
Stud73,M,54,48,40,93,84,63.8
Stud74,F,68,98,84,99,61,82.0
Stud75,M,96,56,42,75,72,68.2
Stud76,F,86,81,90,64,85,81.2
Stud77,M,39,80,84,54,59,63.2
Stud78,F,77,89,44,58,62,66.0
Stud79,M,93,63,83,35,99,74.6
Stud80,F,59,98,80,73,71,76.2
Stud81,M,79,76,48,97,90,78.0
Stud82,M,82,55,66,43,57,60.6
Stud83,M,62,59,90,99,45,71.0
Stud84,F,92,41,64,94,44,67.0
Stud85,F,42,57,38,89,91,63.4
Stud86,F,93,79,52,67,45,67.2
Stud87,M,92,79,50,72,66,71.8
Stud88,M,44,89,41,56,70,60.0
Stud89,F,37,84,66,75,79,68.2
Stud90,M,45,49,41,71,77,56.6
Stud91,M,83,91,93,80,71,83.6
Stud92,F,93,80,46,91,68,75.6
Stud93,M,46,89,63,47,64,61.8
Stud94,M,65,45,47,75,58,58.0
Stud95,F,75,35,86,91,73,72.0
Stud96,M,97,82,53,76,98,81.2
Stud97,F,64,71,35,50,98,63.6
Stud98,F,99,46,42,35,72,58.8
Stud99,M,47,38,48,73,95,60.2
Stud100,F,55,54,69,75,35,57.6
Stud101,M,66,59,84,78,46,66.6
Stud102,F,56,96,36,80,79,69.4
Stud103,M,45,56,38,46,35,44.0
Stud104,F,89,68,54,71,58,68.0
Stud105,M,46,88,78,37,70,63.8
Stud106,M,81,70,96,61,84,78.4
Stud107,M,98,99,88,42,35,72.4
Stud108,F,97,85,77,50,74,76.6
Stud109,M,59,91,76,39,87,70.4
Stud110,F,95,69,78,79,58,75.8
Stud111,F,40,77,51,78,43,57.8
Stud112,M,52,51,85,63,54,61.0
Stud113,M,79,98,47,69,57,70.0
Stud114,F,44,56,73,65,63,60.2
Stud115,M,70,99,71,94,93,85.4
Stud116,F,60,67,94,37,81,67.8
Stud117,M,70,82,46,84,96,75.6
Stud118,M,40,86,46,36,97,61.0
Stud119,F,41,91,63,82,75,70.4
Stud120,F,56,92,82,52,40,64.4
Stud121,M,95,46,37,49,36,52.6
Stud122,M,42,88,58,54,36,55.6
Stud123,F,98,44,40,42,54,55.6
Stud124,M,48,93,68,88,52,69.8
Stud125,M,83,72,64,48,38,61.0
Stud126,F,44,76,72,42,92,65.2
Stud127,M,76,37,62,78,89,68.4
Stud128,M,93,51,66,77,43,66.0
Stud129,F,54,77,61,70,66,65.6
Stud130,M,76,47,90,92,70,75.0
Stud131,M,37,63,91,55,44,58.0
Stud132,F,45,41,69,72,77,60.8
Stud133,F,46,77,55,99,38,63.0
Stud134,F,76,35,60,62,95,65.6
Stud135,M,99,63,55,86,79,76.4
Stud136,F,38,54,99,47,94,66.4
Stud137,M,79,65,72,99,64,75.8
Stud138,M,55,81,39,44,53,54.4
Stud139,F,36,89,47,39,82,58.6
Stud140,F,47,45,89,71,98,70.0
Stud141,M,69,99,97,96,70,86.2
Stud142,F,77,76,38,89,49,65.8
Stud143,M,62,78,35,59,55,57.8
Stud144,M,38,72,80,77,79,69.2
Stud145,M,69,81,99,49,43,68.2
Stud146,F,88,84,45,55,82,70.8
Stud147,F,52,62,85,87,64,70.0
Stud148,F,95,62,55,43,86,68.2
Stud149,F,64,38,98,63,86,69.8
Stud150,M,49,76,35,39,79,55.6
Stud151,M,65,49,98,41,80,66.6
Stud152,F,87,36,91,51,98,72.6
Stud153,F,47,80,37,42,61,53.4
Stud154,M,53,76,48,92,74,68.6
Stud155,F,49,38,67,92,88,66.8
Stud156,M,84,72,89,77,57,75.8
Stud157,F,42,76,47,71,85,64.2
Stud158,F,54,57,47,82,68,61.6
Stud159,M,94,35,45,97,40,62.2
Stud160,M,51,69,86,93,96,79.0
Stud161,F,36,83,71,91,50,66.2
Stud162,F,78,90,42,41,67,63.6
Stud163,M,57,72,52,89,86,71.2
Stud164,F,93,48,55,67,78,68.2
Stud165,M,99,50,41,36,43,53.8
Stud166,M,57,97,80,44,51,65.8
Stud167,F,74,70,93,64,94,79.0
Stud168,M,46,83,36,63,45,54.6
Stud169,M,91,39,79,84,63,71.2
Stud170,F,83,53,44,57,72,61.8
Stud171,F,50,46,41,74,79,58.0
Stud172,M,47,84,66,44,65,61.2
Stud173,M,39,85,48,71,81,64.8
Stud174,M,39,85,61,77,44,61.2
Stud175,M,58,95,90,81,91,83.0
Stud176,M,69,46,53,82,66,63.2
Stud177,F,88,53,74,38,40,58.6
Stud178,F,66,49,86,47,36,56.8
Stud179,M,51,36,52,99,38,55.2
Stud180,F,42,44,92,57,71,61.2
Stud181,M,70,59,91,80,61,72.2
Stud182,M,92,56,73,99,80,80.0
Stud183,F,97,52,78,43,68,67.6
Stud184,F,51,71,96,97,89,80.8
Stud185,M,55,82,58,92,72,71.8
Stud186,M,65,37,48,83,43,55.2
Stud187,F,52,65,84,66,41,61.6
Stud188,F,96,55,94,58,59,72.4
Stud189,F,52,59,93,72,70,69.2
Stud190,F,52,70,98,86,75,76.2
Stud191,M,61,78,89,72,66,73.2
Stud192,F,73,66,40,35,50,52.8
Stud193,M,45,62,76,47,43,54.6
Stud194,F,46,82,71,38,55,58.4
Stud195,F,79,67,51,35,92,64.8
Stud196,F,60,76,90,55,80,72.2
Stud197,M,94,52,57,56,44,60.6
Stud198,F,69,93,68,62,39,66.2
Stud199,F,66,91,99,69,96,84.2
Stud200,F,57,79,81,62,69,69.6
Stud201,M,61,97,81,55,56,70.0
Stud202,M,59,75,85,80,40,67.8
Stud203,F,61,82,53,58,49,60.6
Stud204,M,90,83,47,51,63,66.8
Stud205,M,45,99,59,65,73,68.2
Stud206,M,95,65,89,60,45,70.8
Stud207,M,64,56,83,80,67,70.0
Stud208,F,93,57,99,52,77,75.6
Stud209,F,58,42,60,64,65,57.8
Stud210,F,39,91,38,61,86,63.0
Stud211,F,59,74,62,70,53,63.6
Stud212,F,65,43,91,62,88,69.8
Stud213,M,82,68,64,61,74,69.8
Stud214,M,63,71,98,88,57,75.4
Stud215,F,83,58,96,47,46,66.0
Stud216,F,93,91,47,63,95,77.8
Stud217,F,90,60,78,98,36,72.4
Stud218,F,35,86,73,36,93,64.6
Stud219,F,99,74,62,60,88,76.6
Stud220,F,84,52,83,71,81,74.2
Stud221,M,82,81,64,56,91,74.8
Stud222,F,92,67,51,83,60,70.6
Stud223,F,44,81,77,51,52,61.0
Stud224,F,94,70,44,86,96,78.0
Stud225,F,67,60,40,53,64,56.8
Stud226,F,41,63,62,81,48,59.0
Stud227,F,56,80,40,88,47,62.2
Stud228,F,55,42,81,44,47,53.8
Stud229,M,35,83,94,90,74,75.2
Stud230,F,79,90,50,62,58,67.8
Stud231,M,42,36,35,44,56,42.6
Stud232,F,47,66,74,39,57,56.6
Stud233,F,93,95,74,45,62,73.8
Stud234,F,67,95,74,35,80,70.2
Stud235,F,60,39,86,66,65,63.2
Stud236,M,75,58,76,57,44,62.0
Stud237,M,79,43,54,89,83,69.6
Stud238,M,98,94,41,53,87,74.6
Stud239,F,35,44,38,60,59,47.2
Stud240,M,98,79,50,57,85,73.8
Stud241,M,85,47,83,81,43,67.8
Stud242,F,65,90,58,83,84,76.0
Stud243,M,98,78,84,91,35,77.2
Stud244,F,40,57,75,98,62,66.4
Stud245,F,38,78,84,72,83,71.0
Stud246,F,68,41,37,90,99,67.0
Stud247,M,71,58,85,36,43,58.6
Stud248,F,85,62,50,93,39,65.8
Stud249,M,53,35,40,64,92,56.8
Stud250,M,82,47,90,62,61,68.4
Stud251,F,55,56,63,61,92,65.4
Stud252,F,74,94,53,50,36,61.4
Stud253,F,56,65,76,99,83,75.8
Stud254,M,88,66,77,51,99,76.2
Stud255,F,78,81,98,85,95,87.4
Stud256,M,83,94,78,58,82,79.0
Stud257,F,65,74,35,51,61,57.2
Stud258,F,46,50,99,92,49,67.2
Stud259,M,78,95,56,69,97,79.0
Stud260,M,72,90,77,86,74,79.8
Stud261,F,48,65,99,67,60,67.8
Stud262,M,71,58,73,99,82,76.6
Stud263,F,49,93,77,50,80,69.8
Stud264,F,71,47,74,90,79,72.2
Stud265,M,73,56,75,54,58,63.2
Stud266,F,44,45,82,36,79,57.2
Stud267,M,51,50,49,39,89,55.6
Stud268,F,57,83,77,55,46,63.6
Stud269,F,94,38,70,36,51,57.8
Stud270,F,77,50,80,40,97,68.8
Stud271,M,54,80,87,84,77,76.4
Stud272,M,53,74,54,35,64,56.0
Stud273,M,46,60,43,51,87,57.4
Stud274,M,75,67,99,60,82,76.6
Stud275,M,97,98,40,94,39,73.6
Stud276,F,69,64,41,49,54,55.4
Stud277,M,62,93,82,59,77,74.6
Stud278,M,82,69,96,62,36,69.0
Stud279,F,54,60,83,63,40,60.0
Stud280,M,46,51,55,43,54,49.8
Stud281,F,44,91,78,92,47,70.4
Stud282,F,96,53,89,99,72,81.8
Stud283,M,44,59,76,66,51,59.2
Stud284,M,61,89,54,80,90,74.8
Stud285,F,67,46,75,77,96,72.2
Stud286,M,63,39,44,55,97,59.6
Stud287,M,78,96,81,89,70,82.8
Stud288,F,82,59,85,49,95,74.0
Stud289,M,53,90,75,36,55,61.8
Stud290,F,55,35,61,95,84,66.0
Stud291,M,67,82,90,85,50,74.8
